New Moon,First Quarter,Full Moon,Third Quarter
1815-06-07T00:00:00,1815-06-14T00:00:00,1815-06-21T00:00:00,1815-06-29T00:00:00
1815-07-06T00:00:00,1815-07-13T00:00:00,1815-07-21T00:00:00,1815-07-29T00:00:00
1815-08-05T00:00:00,1815-08-11T00:00:00,1815-08-19T00:00:00,1815-08-27T00:00:00
1815-09-03T00:00:00,1815-09-10T00:00:00,1815-09-18T00:00:00,1815-09-26T00:00:00
1815-10-02T00:00:00,1815-10-10T00:00:00,1815-10-18T00:00:00,1815-10-25T00:00:00
1815-11-01T00:00:00,1815-11-08T00:00:00,1815-11-16T00:00:00,1815-11-23T00:00:00
1815-11-30T00:00:00,1815-12-08T00:00:00,1815-12-16T00:00:00,1815-12-23T00:00:00
1815-12-30T00:00:00,None,None,None
None,1816-01-07T00:00:00,1816-01-14T00:00:00,1816-01-21T00:00:00
1816-01-29T00:00:00,1816-02-06T00:00:00,1816-02-13T00:00:00,1816-02-20T00:00:00
1816-02-28T00:00:00,1816-03-07T00:00:00,1816-03-13T00:00:00,1816-03-20T00:00:00
1816-03-28T00:00:00,1816-04-05T00:00:00,1816-04-12T00:00:00,1816-04-19T00:00:00
1816-04-27T00:00:00,1816-05-04T00:00:00,1816-05-11T00:00:00,1816-05-18T00:00:00
1816-05-26T00:00:00,1816-06-03T00:00:00,1816-06-09T00:00:00,1816-06-17T00:00:00
1816-06-25T00:00:00,1816-07-02T00:00:00,1816-07-09T00:00:00,1816-07-17T00:00:00
1816-07-24T00:00:00,1816-07-31T00:00:00,1816-08-07T00:00:00,1816-08-16T00:00:00
1816-08-23T00:00:00,1816-08-29T00:00:00,1816-09-06T00:00:00,1816-09-14T00:00:00
1816-09-21T00:00:00,1816-09-28T00:00:00,1816-10-06T00:00:00,1816-10-14T00:00:00
1816-10-20T00:00:00,1816-10-27T00:00:00,1816-11-04T00:00:00,1816-11-12T00:00:00
1816-11-19T00:00:00,1816-11-26T00:00:00,1816-12-04T00:00:00,1816-12-12T00:00:00
1816-12-18T00:00:00,1816-12-26T00:00:00,None,None
None,None,1817-01-03T00:00:00,1817-01-10T00:00:00
